court,cohesion,n_votos,carga,stratum,reporter,weight,maj_opin_assigner,year
scotus,0.5555555555555556,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.5555555555555556,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.1111111111111111,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.5555555555555556,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.3333333333333333,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.5555555555555556,9,119,,,1.0,BRWhite,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.7777777777777778,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.3333333333333333,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.1111111111111111,9,119,,,1.0,HABlackmun,1992.0
scotus,1.0,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.1111111111111111,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.1111111111111111,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.5555555555555556,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.5555555555555556,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.3333333333333333,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.1111111111111111,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.1111111111111111,9,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,119,,,1.0,HABlackmun,1992.0
scotus,1.0,9,119,,,1.0,HABlackmun,1992.0
scotus,0.1111111111111111,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.1111111111111111,9,119,,,1.0,BRWhite,1992.0
scotus,0.1111111111111111,9,119,,,1.0,WHRehnquist,1992.0
scotus,0.25,8,119,,,1.0,WHRehnquist,1992.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.5555555555555556,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.1111111111111111,9,96,,,1.0,HABlackmun,1993.0
scotus,0.3333333333333333,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.7777777777777778,9,96,,,1.0,HABlackmun,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.1111111111111111,9,96,,,1.0,JPStevens,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.5555555555555556,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.5555555555555556,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.7777777777777778,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.75,8,96,,,1.0,WHRehnquist,1993.0
scotus,0.7777777777777778,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.5555555555555556,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.5555555555555556,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.5555555555555556,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.5555555555555556,9,96,,,1.0,HABlackmun,1993.0
scotus,0.5555555555555556,9,96,,,1.0,HABlackmun,1993.0
scotus,0.5555555555555556,9,96,,,1.0,JPStevens,1993.0
scotus,0.3333333333333333,9,96,,,1.0,JPStevens,1993.0
scotus,0.3333333333333333,9,96,,,1.0,HABlackmun,1993.0
scotus,0.1111111111111111,9,96,,,1.0,HABlackmun,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,8,96,,,1.0,WHRehnquist,1993.0
scotus,0.7777777777777778,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.7777777777777778,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,AMKennedy,1993.0
scotus,0.5555555555555556,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.5555555555555556,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,JPStevens,1993.0
scotus,0.3333333333333333,9,96,,,1.0,JPStevens,1993.0
scotus,0.5555555555555556,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.3333333333333333,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.1111111111111111,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.1111111111111111,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.5555555555555556,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.0,8,96,,,1.0,BRWhite,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.5555555555555556,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.5555555555555556,9,96,,,1.0,HABlackmun,1993.0
scotus,0.3333333333333333,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.1111111111111111,9,96,,,1.0,JPStevens,1993.0
scotus,0.3333333333333333,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.1111111111111111,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,JPStevens,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
scotus,0.5555555555555556,9,96,,,1.0,HABlackmun,1993.0
scotus,0.5555555555555556,9,96,,,1.0,HABlackmun,1993.0
scotus,0.5555555555555556,9,96,,,1.0,JPStevens,1993.0
scotus,0.25,8,96,,,1.0,WHRehnquist,1993.0
scotus,1.0,9,96,,,1.0,WHRehnquist,1993.0
